SESSION,FILLE-ID,S,E,SPEAKER,UH_OR_UM,WITH_OR_OMIT_FILLER,NOW_CROSS,FUT_CROSS,FILLER_F0,FILLER_INT,LOC,WORDS_IN_DA,DA,DIFF_NOW_CROSS,DIFF_FUT_CROSS
2019,350,153.3345,153.704375,0,uh,1,-1,494,-1.103,-1.02,1,8,sd,-340.0,234.0
2019,351,155.4445,155.6135,0,uh,1,0,25,-1.876,-1.686,4,10,sd,0.0,25.0
2019,6548,174.147,174.807125,1,um,1,-1,-1,-0.95,-1.124,6,18,sd^e,0.0,0.0
2019,361,175.461875,175.820125,1,uh,1,-1,-1,-0.486,-0.613,8,18,sd^e,0.0,0.0
2019,362,180.30225,180.664875,1,uh,1,-1,-1,-1.099,-0.921,3,30,sd,0.0,0.0
2019,363,181.71775,182.097125,1,uh,1,-1,-1,-0.542,-0.8,7,30,sd,0.0,0.0
2019,364,185.63325,186.03025,1,uh,1,307,300,-1.114,-1.037,18,30,sd,27.0,31.0
2019,352,208.427125,209.21125,0,uh,1,-1,-1,-0.938,-0.709,0,13,sd,0.0,0.0
2019,353,221.80625,222.086875,0,uh,1,376,352,-0.814,-0.339,9,13,sd,28.0,31.0
2019,354,232.9935,233.231625,0,uh,1,172,143,-0.7,-0.119,7,11,sd,79.0,53.0
2019,355,239.997875,240.37125,0,uh,1,-1,-1,-1.021,-1.523,5,9,sd,0.0,0.0
2019,356,251.077,251.248875,0,uh,1,-1,-1,-0.731,0.064,1,2,%,-13.0,0.0
2019,365,278.90575,279.337,1,uh,1,-1,-1,-0.671,-0.709,8,13,sd,0.0,0.0
2019,357,28.829,29.143,1,uh,1,-1,-1,-0.663,-0.252,1,10,sd,-492.0,0.0
2019,366,283.48925,283.835875,1,uh,1,416,401,-0.602,-0.44,1,15,sd,59.0,66.0
2019,6549,288.74,289.46025,1,um,1,289,264,-0.507,-0.911,11,15,sd,69.0,55.0
2019,358,30.0675,30.83725,1,uh,1,312,311,-0.583,-0.243,3,10,sd,23.0,26.0
2019,6550,309.833875,310.344375,1,um,1,254,241,-0.714,-1.232,0,14,sd,93.0,76.0
2019,367,338.2655,338.6375,1,uh,1,240,240,1.146,-0.019,2,3,%,-2.0,-1.0
2019,368,350.08025,350.297,1,uh,1,223,217,-0.773,-0.728,1,14,sd,16.0,16.0
2019,359,37.4265,37.811375,1,uh,1,334,321,-0.459,-0.319,1,12,sd,27.0,25.0
2019,369,395.303125,395.68375,1,uh,1,321,317,-0.711,-0.792,16,22,+,61.0,63.0
2019,370,401.595375,401.894875,1,uh,1,277,265,-0.559,-1.109,1,8,+,12.0,8.0
2019,360,44.750625,45.054625,1,uh,1,285,274,-1.455,-0.543,11,24,sd,-4.0,-4.0
2019,344,56.473125,56.739375,0,uh,1,-1,-1,-1.857,-1.172,1,7,qw,0.0,0.0
2019,345,64.600875,64.816375,0,uh,1,-1,-1,-0.667,-0.152,3,8,sd,0.0,0.0
2019,346,67.767875,68.076,0,uh,1,-1,497,-1.046,-0.553,4,7,sd,0.0,11.0
2019,347,90.654125,90.93475,0,uh,1,-1,-1,-0.422,-0.247,11,13,sd,0.0,0.0
2027,6511,109.381125,109.671125,0,um,1,3,-1,-1.106,-0.463,1,26,sd,4.0,0.0
2027,6512,130.3725,131.0025,0,um,1,252,241,-0.828,0.2,5,6,sd,86.0,91.0
2038,429,118.1605,119.180375,1,uh,1,64,41,-2.29,-4.927,15,16,qh,8.0,-9.0
2038,430,120.886,121.491125,1,uh,1,6,5,-1.645,-11.823,5,22,sv,-57.0,-50.0
2038,431,127.0845,127.382,1,uh,1,2,0,-1.932,-5.173,2,4,%,-24.0,-11.0
2038,413,138.037375,138.288875,0,uh,1,-1,-1,-1.567,-0.773,1,12,%,0.0,0.0
2038,414,139.847375,140.301875,0,uh,1,-1,-1,-0.53,-0.317,3,12,%,0.0,0.0
2038,6567,152.764375,153.24525,0,um,1,-1,490,-1.8,-0.653,22,35,sv,0.0,491.0
2038,415,154.61675,155.012125,0,uh,1,272,249,-1.072,-0.422,24,35,sv,-6.0,0.0
2038,416,160.10675,160.60525,0,uh,1,356,328,-2.787,-0.709,6,50,o@,56.0,52.0
2038,417,161.625125,161.9075,0,uh,1,420,380,-1.235,-0.753,8,50,o@,1.0,3.0
2038,6568,173.977875,174.58775,0,um,1,246,230,-0.732,-0.298,32,50,o@,72.0,76.0
2038,432,228.257,228.72675,1,uh,1,0,0,-1.773,-5.211,4,12,sd,-27.0,-6.0
2038,6570,231.887625,232.57125,1,um,1,223,220,-2.49,-9.942,1,20,sd,14.0,17.0
2038,433,255.849875,256.066125,1,uh,1,94,52,-2.08,-2.001,2,14,qh,-4.0,-22.0
2038,434,275.0005,275.511375,1,uh,1,0,0,-2.01,-4.184,40,44,qh,-27.0,-18.0
2038,418,280.84425,281.1565,0,uh,1,-1,-1,-0.386,-0.335,10,13,sv,0.0,0.0
2038,435,294.117125,294.242375,1,uh,1,45,50,-2.628,-1.754,19,29,sv,-27.0,-31.0
2038,436,298.736875,299.144875,1,uh,1,189,176,-2.216,-1.989,7,25,sv,131.0,130.0
2038,437,301.7895,302.2755,1,uh,1,50,33,-2.586,-2.482,12,25,sv,24.0,14.0
2038,419,315.922625,316.505,0,uh,1,-1,-1,-1.68,-0.674,6,16,sd,0.0,0.0
2038,420,318.026375,318.502125,0,uh,1,0,0,-3.497,-1.372,8,16,sd,-119.0,-96.0
2038,421,329.07475,329.42775,0,uh,1,3,0,-2.554,-0.988,13,33,sd,-17.0,-12.0
2038,422,333.100375,333.465375,0,uh,1,259,247,-1.961,-0.677,19,33,sd,19.0,19.0
2038,423,346.0655,346.567125,0,uh,1,227,1,-3.268,-0.953,28,32,sd,19.0,-197.0
2038,424,348.8855,349.199625,0,uh,1,274,261,-0.381,-0.433,4,17,sv,49.0,48.0
2038,411,35.958875,36.142625,0,uh,1,225,170,-0.353,-0.373,26,35,sv^e,8.0,35.0
2038,425,352.1755,352.47975,0,uh,1,267,254,-1.172,-0.281,14,17,sv,55.0,51.0
2038,438,364.96475,365.179375,1,uh,1,-1,-1,-2.51,-1.824,4,12,sv,0.0,0.0
2038,439,392.076125,392.569,1,uh,1,212,209,-2.14,-2.767,1,2,o@,-7.0,-9.0
2038,440,394.314,394.81325,1,uh,1,170,154,-2.439,-1.896,4,5,+@,-12.0,2.0
2038,441,398.731875,399.202375,1,uh,1,127,101,-2.607,-2.032,3,4,%,109.0,101.0
2038,442,430.871875,431.4935,1,uh,1,432,496,-1.922,-1.325,2,3,%,44.0,17.0
2038,443,434.86025,435.7605,1,uh,1,0,0,-2.196,-5.808,7,24,qh,-17.0,-6.0
2038,444,457.97325,458.693,1,uh,1,18,1,-2.598,-7.036,7,15,sv,2.0,-8.0
2038,412,46.280625,46.474375,0,uh,1,224,211,-0.692,-0.28,21,30,sv,21.0,27.0
2038,426,472.421125,472.82025,0,uh,1,231,222,-1.925,-0.678,12,44,sv,10.0,9.0
2038,427,477.455625,477.906375,0,uh,1,219,205,-1.655,-0.678,22,44,sv,53.0,62.0
2038,6569,514.536125,514.810125,0,um,1,278,253,0.034,-0.244,5,12,sv,-11.0,-9.0
2038,428,553.63425,553.89975,0,uh,1,-1,475,-1.443,-0.463,9,35,sv,0.0,22.0
2041,6532,122.71025,123.395,1,um,1,260,263,-2.693,-1.775,6,19,+,5.0,5.0
2041,6533,173.096375,173.70975,1,um,1,-1,-1,-2.389,-1.343,2,10,sd,0.0,0.0
2041,6534,185.755,186.4455,1,um,1,26,0,-2.176,-1.615,1,7,+,-53.0,-68.0
2041,6528,223.44125,223.88125,0,um,1,-1,-1,-0.954,-0.795,0,8,sd,0.0,0.0
2041,6529,227.567125,228.093375,0,um,1,-1,-1,-0.851,-0.751,0,23,+,0.0,0.0
2041,327,29.2175,29.57425,1,uh,1,359,371,-2.603,-1.683,5,12,+,359.0,49.0
2041,325,304.984375,305.181875,0,uh,1,-1,-1,-1.569,-0.526,1,30,sd,0.0,0.0
2041,326,310.421875,310.659125,0,uh,1,211,197,-1.339,-0.21,20,30,sd,83.0,73.0
2041,6526,39.22625,39.662625,0,um,1,-1,-1,0.609,0.04,0,14,sd,0.0,0.0
2041,6530,390.59325,390.920375,0,um,1,-1,-1,0.071,-0.323,4,13,sd,0.0,0.0
2041,6531,409.55625,409.87025,0,um,1,381,344,-0.531,-1.365,6,13,sd,-4.0,2.0
2041,6535,535.254,535.656875,1,um,1,285,289,-2.299,-1.627,4,13,qy,-10.0,-9.0
2041,6536,563.365625,563.9415,1,um,1,275,289,-2.697,-1.586,1,6,%,172.0,171.0
2041,328,591.38125,591.841,1,uh,1,1,0,-2.889,-2.05,16,21,+,1.0,0.0
2041,6527,61.15675,61.579125,0,um,1,373,323,-2.265,-1.145,7,8,sd,100.0,79.0
2041,324,70.939125,71.309125,0,uh,1,301,275,-3.091,-0.868,10,20,sd,11.0,8.0
2051,208,135.751375,135.999,0,uh,1,-1,-1,-0.004,0.468,1,12,sv,0.0,0.0
2051,210,177.805375,178.218,1,uh,1,429,462,-0.863,0.083,5,14,%,-1.0,-2.0
2051,209,233.44575,233.74675,0,uh,1,0,13,-2.183,-0.719,15,16,bf,-1.0,-9.0
2051,207,30.057125,30.593875,0,uh,1,-1,-1,-0.223,0.489,1,2,b,0.0,0.0
2051,211,313.6375,314.134375,1,uh,1,300,294,-0.889,-0.044,4,14,sd,42.0,42.0
2051,212,315.240875,315.541125,1,uh,1,229,199,-0.12,-0.586,7,14,sd,79.0,66.0
2051,213,321.750125,322.12775,1,uh,1,0,0,-1.194,-0.739,1,7,ad,-8.0,-15.0
2051,6477,38.308625,38.751375,0,um,1,-1,-1,-0.982,0.085,1,30,sv,0.0,0.0
2051,214,431.243875,431.61075,1,uh,1,-1,-1,-0.898,-0.357,7,13,sd,0.0,0.0
2051,6478,87.298625,87.742125,0,um,1,-1,-1,-0.882,-0.666,0,16,sv,0.0,0.0
2053,314,169.531875,169.708875,1,uh,1,26,155,-0.865,-0.606,7,12,sd,-191.0,-38.0
2053,315,187.3605,187.7235,1,uh,1,281,270,-0.362,-0.93,1,9,+,45.0,42.0
2053,316,204.587125,205.194625,1,uh,1,262,252,-2.457,-0.707,5,8,sd,46.0,38.0
2053,317,223.927875,224.238125,1,uh,1,-1,-1,0.311,-0.76,0,1,aa,0.0,0.0
2053,318,257.55375,257.815375,1,uh,1,-1,-1,-0.485,-0.428,5,19,qy,0.0,0.0
2053,6521,266.416375,266.83425,0,um,1,-1,-1,-2.438,-0.52,2,13,sd,0.0,0.0
2053,309,267.8895,268.1195,0,uh,1,-1,-1,-1.972,-0.713,7,13,sd,0.0,0.0
2053,6519,27.10925,27.48675,0,um,1,-1,-1,-1.289,-0.505,6,12,sd,0.0,0.0
2053,319,275.202625,275.432625,1,uh,1,-1,-1,-0.432,-0.478,11,16,sd,-7.0,0.0
2053,310,295.261875,295.5005,0,uh,1,-1,-1,-2.191,-0.639,23,26,sd,0.0,0.0
2053,6524,309.11,309.58,1,um,1,-1,-1,-0.595,-0.384,0,3,%,0.0,0.0
2053,320,313.033125,313.247125,1,uh,1,-1,-1,0.167,-0.821,2,3,%,0.0,0.0
2053,321,333.68325,333.83325,1,uh,1,-1,-1,-0.443,-0.41,1,13,sd,0.0,0.0
2053,322,334.51325,334.74325,1,uh,1,-1,-1,-1.025,-0.345,3,13,sd,0.0,0.0
2053,323,350.968125,351.244125,1,uh,1,-1,-1,0.124,-0.058,1,9,fc,0.0,0.0
2053,6525,352.16425,352.448125,1,um,1,445,495,0.462,-0.5,7,9,fc,-13.0,496.0
2053,311,57.934125,58.239375,1,uh,1,288,297,-1.4,-1.425,1,3,%,-43.0,-71.0
2053,6520,62.142875,62.827,0,um,1,-1,-1,0.692,-0.134,0,6,sd,0.0,0.0
2053,6523,71.583375,72.013375,1,um,1,480,461,-0.326,-0.183,2,4,b,297.0,295.0
2053,312,96.898625,97.173,1,uh,1,148,138,-0.88,-0.898,14,15,sd,69.0,54.0
2053,313,98.0275,98.37525,1,uh,1,297,279,-1.063,-0.703,1,8,sd,9.0,12.0
2064,407,117.154375,117.442625,0,uh,1,9,0,-0.995,0.063,5,30,sv,10.0,1.0
2064,6564,203.86575,204.236,1,um,1,-1,-1,-3.392,-1.407,8,12,+,0.0,0.0
2064,408,230.97525,231.22375,0,uh,1,-1,-1,-0.842,-0.755,9,18,sv,-2.0,-1.0
2064,410,237.4065,237.79975,1,uh,1,-1,-1,0.138,-0.238,3,4,%,0.0,0.0
2064,405,24.218,24.473375,0,uh,1,-1,-1,-0.377,0.361,3,11,sd^e,-2.0,0.0
2064,409,246.571875,246.69525,0,uh,1,-1,371,-0.435,-0.697,4,8,sd,0.0,-48.0
2064,406,26.438,26.624875,0,uh,1,-1,-1,-0.353,-0.212,9,11,sd^e,-2.0,-1.0
2064,6565,370.528875,370.795375,1,um,1,466,-1,-1.026,-0.824,3,4,%,467.0,0.0
2064,6566,413.856875,414.186125,1,um,1,-1,-1,-1.653,-1.217,8,12,sv,-496.0,0.0
2064,6562,49.155,49.545375,1,um,1,51,44,-0.846,-0.521,34,48,sv,-135.0,-123.0
2064,6563,97.289625,97.61375,1,um,1,378,420,-0.401,-0.921,3,4,sv,-5.0,-33.0
2065,385,157.745375,158.339,0,uh,1,234,210,-3.868,-1.104,13,23,sv,23.0,17.0
2065,386,181.312125,181.665375,0,uh,1,-1,-1,-1.806,-0.752,1,11,sd,0.0,0.0
2065,387,182.106,182.549,0,uh,1,-1,-1,-3.868,-1.838,2,11,sd,0.0,0.0
2065,388,192.949,193.29775,0,uh,1,0,0,-2.512,-0.504,0,18,+,0.0,0.0
2065,389,201.18925,201.60975,0,uh,1,242,231,-2.507,-1.195,9,11,sv,53.0,54.0
2065,390,235.26425,235.5405,0,uh,1,470,325,-3.868,-1.299,7,8,sd,128.0,89.0
2065,391,248.283125,248.551375,0,uh,1,0,14,-1.129,-1.135,17,23,sd,-165.0,-133.0
2065,392,289.094125,289.531625,0,uh,1,-1,-1,-1.609,-0.764,3,13,sv,0.0,0.0
2065,381,31.852,32.177125,0,uh,1,-1,-1,-1.394,-1.027,1,16,qy,0.0,0.0
2065,6554,313.6075,314.05475,1,um,1,-1,-1,-2.334,-1.71,4,22,sv,0.0,0.0
2065,382,33.8515,34.004875,0,uh,1,-1,-1,-1.382,-0.218,9,16,qy,0.0,0.0
2065,393,349.684875,350.07,0,uh,1,327,283,-0.991,-1.004,1,16,ad,85.0,54.0
2065,394,356.869875,357.166875,0,uh,1,461,384,3.31,-0.602,7,22,sd,-4.0,14.0
2065,383,36.478375,36.795875,0,uh,1,-1,-1,-2.548,-0.778,15,16,qy,0.0,0.0
2065,395,382.715625,383.03175,0,uh,1,37,183,-3.223,-1.422,8,14,sd,33.0,183.0
2065,397,410.873625,411.096375,1,uh,1,213,210,-0.592,-0.319,12,33,sd,62.0,128.0
2065,6555,439.303875,439.827,1,um,1,192,106,-0.875,-1.449,12,17,sd,114.0,25.0
2065,396,504.225125,504.542875,0,uh,1,343,280,-1.304,-1.027,6,16,sv,83.0,65.0
2065,384,51.10125,51.406375,0,uh,1,292,260,-1.47,-1.241,9,13,sd,19.0,12.0
2065,6556,530.50925,530.88475,1,um,1,-1,-1,-0.923,-1.249,2,6,sd,0.0,0.0
2065,398,554.36875,554.771,1,uh,1,188,194,-3.131,-1.031,16,17,sd,82.0,85.0
2078,220,138.83325,139.29075,1,uh,1,245,238,-3.737,-1.171,1,17,sd,88.0,97.0
2078,221,167.325375,167.735875,1,uh,1,0,0,-1.122,-1.038,1,10,sd,-11.0,-1.0
2078,222,170.675375,171.038,1,uh,1,283,279,-1.701,-1.019,5,13,sd,31.0,32.0
2078,215,299.211,299.470875,0,uh,1,-1,154,-1.185,0.399,0,6,sd,0.0,155.0
2078,216,398.741625,398.918875,0,uh,1,301,226,-1.338,-1.131,1,10,sd,64.0,44.0
2078,217,412.18625,412.490125,0,uh,1,328,271,-1.441,-0.567,4,12,qw,37.0,15.0
2078,6480,421.137125,421.804625,1,um,1,-1,-1,-1.461,-1.069,2,20,sd,0.0,0.0
2078,6481,522.634125,523.162125,1,um,1,-1,-1,-0.42,-0.693,2,9,sd,0.0,0.0
2078,6479,561.883875,562.193625,0,um,1,-1,478,-2.034,-0.647,4,12,sd,-426.0,125.0
2078,218,564.513375,564.699125,0,uh,1,279,268,-2.486,-0.537,4,10,sd,5.0,4.0
2078,219,91.450375,92.04125,1,uh,1,218,210,-2.791,-1.255,1,4,^h,206.0,204.0
2079,6482,100.147625,100.51075,0,um,1,3,0,-0.442,-0.75,1,10,sd,-188.0,-97.0
2079,229,115.92,116.1815,1,uh,1,-1,-1,-0.564,-0.206,1,2,%,0.0,0.0
2079,230,119.03,119.258125,1,uh,1,-1,-1,-2.09,-0.724,8,15,sd,0.0,0.0
2079,231,127.4965,127.742125,1,uh,1,200,193,-1.944,-0.881,10,14,sd,134.0,138.0
2079,232,135.10725,135.243375,1,uh,1,0,245,-1.56,-0.845,0,5,sd,0.0,-15.0
2079,233,163.900625,164.185625,1,uh,1,-1,-1,-0.268,0.162,9,17,qr,0.0,0.0
2079,6487,165.367375,165.748625,1,um,1,-1,-1,-1.598,-0.22,11,17,qr,0.0,0.0
2079,234,222.798875,223.009375,1,uh,1,177,165,-1.805,-1.389,18,19,sd,59.0,45.0
2079,224,225.965375,226.17125,0,uh,1,-1,-1,-3.614,-1.266,1,12,sd,0.0,0.0
2079,235,247.026,247.272625,1,uh,1,-1,-1,-0.739,-1.05,3,4,sv,0.0,0.0
2079,236,248.636375,249.335625,1,uh,1,-1,-1,-1.961,-1.084,4,13,sv,0.0,0.0
2079,6484,28.181375,28.636375,1,um,1,237,22,-1.796,-1.397,1,25,sd,206.0,21.0
2079,6485,40.176125,40.5425,1,um,1,259,256,-0.465,-0.467,3,21,sd,29.0,29.0
2079,6486,53.24225,54.099375,1,um,1,2,0,-1.47,-1.107,1,22,sd,-51.0,-12.0
2079,227,60.122125,60.266,1,uh,1,221,215,-2.09,-0.632,10,23,sv,10.0,10.0
2079,228,62.04475,62.298875,1,uh,1,104,75,-2.044,-0.538,18,23,sv,35.0,18.0
2079,223,81.812125,82.25075,0,uh,1,1,0,-0.893,-0.784,1,2,%,-85.0,-62.0
2085,299,129.620625,129.861,1,uh,1,-1,-1,0.09,0.481,1,14,sd,0.0,0.0
2085,295,22.498,22.72625,1,uh,1,257,242,-1.239,-0.608,9,36,sd,18.0,20.0
2085,300,329.9295,330.250125,1,uh,1,-1,-1,-0.807,-0.248,1,28,sv,0.0,0.0
2085,296,44.643125,44.97025,1,uh,1,-1,-1,0.221,-0.191,10,14,sd,0.0,0.0
2085,297,48.247375,48.523875,1,uh,1,261,254,-1.292,-0.978,3,51,+,7.0,9.0
2085,301,524.135875,524.444,1,uh,1,216,206,-0.909,-0.96,3,52,sv,144.0,142.0
2085,298,54.92475,55.268875,1,uh,1,4,0,-0.65,-0.773,14,51,+,4.0,0.0
2085,302,560.876875,561.29,1,uh,1,261,251,-1.539,0.471,1,19,sd,60.0,64.0
2085,6513,590.357875,590.7725,1,um,1,209,24,-0.519,-0.004,3,16,ad,190.0,16.0
2086,329,105.114125,105.244125,0,uh,1,499,287,-2.028,-1.863,0,9,sd,472.0,258.0
2086,6537,120.627875,120.961375,0,um,1,250,238,-1.411,-1.36,6,10,sd,90.0,75.0
2086,6538,137.38,137.591125,0,um,1,211,209,-0.559,-1.15,1,33,sd,-8.0,-6.0
2086,6539,139.63,139.874125,0,um,1,228,228,-0.525,-1.212,9,33,sd,4.0,5.0
2086,6540,151.816125,151.9965,0,um,1,11,0,-1.748,-0.822,10,28,sd,-16.0,-33.0
2086,6541,153.226125,153.4385,0,um,1,0,0,-1.005,-1.479,14,28,sd,0.0,0.0
2086,6542,155.66975,155.926,0,um,1,1,0,-0.771,-0.748,22,28,sd,-148.0,-136.0
2086,330,160.135125,160.30125,0,uh,1,229,24,-1.605,-1.621,3,7,sd,12.0,-176.0
2086,6543,165.835625,166.056,0,um,1,165,150,-1.511,-2.138,11,20,sd,-12.0,-10.0
2086,331,167.502625,167.793625,0,uh,1,197,187,-1.373,-1.363,16,20,sd,-13.0,-13.0
2086,332,174.052625,174.168125,0,uh,1,6,190,-0.85,-1.516,6,9,sd,-165.0,28.0
2086,333,195.612375,195.938375,0,uh,1,194,184,-2.308,-2.047,13,25,sd,14.0,14.0
2086,6544,198.512375,198.72075,0,um,1,0,0,-0.779,-1.313,21,25,sd,-1.0,0.0
2086,339,22.60625,22.8995,1,uh,1,0,0,-2.352,-0.536,4,17,ad,-151.0,-73.0
2086,334,305.6915,305.8995,0,uh,1,242,225,-1.206,-1.027,5,14,sd,73.0,57.0
2086,6545,306.661375,306.90625,0,um,1,227,212,-1.037,-1.869,7,14,sd,0.0,0.0
